Workout Date;Set;Weight (kg);Rep;MV (m/s)
10/06/2022;7;170;3;1.13
10/06/2022;7;170;3;0.38
10/06/2022;7;170;4;1.17
10/06/2022;7;170;4;0.39
10/06/2022;7;170;5;1.13
10/06/2022;7;170;5;0.35
10/06/2022;7;170;6;1.01
10/06/2022;7;170;6;0.32
10/06/2022;7;170;7;1.19
10/06/2022;7;170;7;0.31
10/06/2022;7;170;8;1.25
10/06/2022;7;170;8;0.31
10/06/2022;7;170;9;1.05
10/06/2022;8;170;1;0.33
10/06/2022;8;170;2;1.02
10/06/2022;8;170;2;0.35
10/06/2022;8;170;3;1.11
10/06/2022;8;170;3;0.35
10/06/2022;8;170;4;1.1
10/06/2022;8;170;4;0.34
10/06/2022;8;170;5;1.01
10/06/2022;8;170;5;0.32
10/06/2022;8;170;6;1.04
10/06/2022;8;170;6;0.31
10/06/2022;8;170;7;0.91
08/05/2022;1;110;1;0.65
08/05/2022;1;110;2;0.52
08/05/2022;1;110;2;0.72
08/05/2022;1;110;3;0.83
08/05/2022;2;150;1;0.49
08/05/2022;2;150;2;0.79
08/05/2022;3;150;1;0.54
08/05/2022;3;150;2;0.97
08/05/2022;4;190;1;0.3
08/05/2022;4;190;2;1.03
08/05/2022;5;190;1;0.33
08/05/2022;5;190;2;1.03
08/05/2022;6;212;1;0.26
08/05/2022;6;212;2;0.8
08/05/2022;7;190;1;0.31
08/05/2022;7;190;2;1.03
08/05/2022;7;190;2;0.29
08/05/2022;7;190;3;1.04
08/05/2022;7;190;3;0.27
08/05/2022;7;190;4;0.74
28/04/2022;1;150;1;0.67
28/04/2022;1;150;2;0.39
08/02/2022;1;150;1;0.59
08/02/2022;1;150;2;1.04
08/02/2022;2;170;1;0.52
08/02/2022;2;170;2;0.93
08/02/2022;3;200;1;0.34
08/02/2022;3;200;2;0.97
08/02/2022;4;190;1;0.32
08/02/2022;4;190;2;1
08/02/2022;4;190;2;0.37
08/02/2022;4;190;3;0.76
08/02/2022;4;190;3;0.34
08/02/2022;4;190;4;0.71
08/02/2022;4;190;4;0.3
08/02/2022;4;190;5;0.71
08/02/2022;4;190;5;0.29
08/02/2022;4;190;6;0.79
08/02/2022;5;190;1;0.29
08/02/2022;5;190;2;0.86
